epoch, time, loss1, loss2, loss3, loss4, total_loss
59, 12.645, 0.1182143763, 0.0122872116, 0.0012088931, 0.2733007073, 0.4050111771
60, 12.822, 0.1124636382, 0.0123289814, 0.0012072476, 0.2725055814, 0.3985054493
61, 12.972, 0.1184163615, 0.0123696560, 0.0012057388, 0.2723158002, 0.4043075442
62, 13.160, 0.1175937280, 0.0123681715, 0.0011808098, 0.2675175965, 0.3986603022
63, 13.315, 0.1124574021, 0.0123729985, 0.0011471501, 0.2672775984, 0.3932551444
64, 13.499, 0.1081867591, 0.0123849008, 0.0011255139, 0.2692748904, 0.3909720778
65, 13.652, 0.1127132773, 0.0124210315, 0.0010976916, 0.2678420842, 0.3940740824
66, 13.849, 0.1110560521, 0.0124874907, 0.0010816288, 0.2714034021, 0.3960285783
67, 14.065, 0.1038577929, 0.0125379339, 0.0010729503, 0.2685874701, 0.3860561550
68, 14.254, 0.1082205325, 0.0125893727, 0.0010745942, 0.2650817335, 0.3869662285
69, 14.432, 0.1110385582, 0.0126214819, 0.0010755525, 0.2603015602, 0.3850371540
70, 14.643, 0.1119382903, 0.0126635479, 0.0010770805, 0.2631075978, 0.3887865245
71, 14.834, 0.1143169552, 0.0127079021, 0.0010699391, 0.2626612186, 0.3907560110
72, 15.012, 0.1097918302, 0.0128021697, 0.0011081498, 0.2589674890, 0.3826696277
73, 15.191, 0.1048014760, 0.0128958365, 0.0011275724, 0.2568570673, 0.3756819367
74, 15.355, 0.1089285314, 0.0129176192, 0.0010914425, 0.2599402666, 0.3828778565
75, 15.514, 0.1126097366, 0.0129663423, 0.0010838127, 0.2524357140, 0.3790956140
76, 15.670, 0.1067611501, 0.0129962014, 0.0010774112, 0.2562815547, 0.3771163225
77, 15.859, 0.1068940386, 0.0130002936, 0.0010787122, 0.2531510293, 0.3741240799
78, 16.031, 0.1097488180, 0.0130089773, 0.0010684209, 0.2492345273, 0.3730607331
79, 16.205, 0.0994975716, 0.0130347088, 0.0010436910, 0.2523720860, 0.3659480512
80, 16.361, 0.1035137698, 0.0130283181, 0.0009851514, 0.2553982735, 0.3729255199
81, 16.534, 0.0985562727, 0.0130206216, 0.0009436024, 0.2546312213, 0.3671517074
82, 16.707, 0.1000199690, 0.0129982987, 0.0009098637, 0.2501761615, 0.3641043007
83, 16.892, 0.0969441310, 0.0129741710, 0.0008885580, 0.2537066340, 0.3645134866
84, 17.056, 0.1012528092, 0.0129438220, 0.0008636299, 0.2456158996, 0.3606761694
85, 17.230, 0.1001455337, 0.0129099460, 0.0008291032, 0.2478908151, 0.3617753983
86, 17.375, 0.0969363004, 0.0128790401, 0.0007983575, 0.2451307178, 0.3557444215
87, 17.555, 0.1013438925, 0.0128613943, 0.0008061657, 0.2406346202, 0.3556460738
88, 17.706, 0.0984473974, 0.0128880376, 0.0008382048, 0.2443349361, 0.3565085828
89, 17.914, 0.0952106640, 0.0129067739, 0.0008513535, 0.2406341732, 0.3496029675
90, 18.063, 0.0989315286, 0.0128860706, 0.0008075317, 0.2440153658, 0.3566404879
91, 18.216, 0.0991095379, 0.0129106827, 0.0007652570, 0.2428678870, 0.3556533754
92, 18.371, 0.0950015187, 0.0129466839, 0.0007744770, 0.2417495549, 0.3504722416
93, 18.545, 0.0997828320, 0.0129601583, 0.0007965170, 0.2407086492, 0.3542481661
94, 18.734, 0.0978019834, 0.0129552307, 0.0008095215, 0.2391401678, 0.3507069051
95, 18.912, 0.1000501215, 0.0129941916, 0.0008201358, 0.2432036847, 0.3570681214
96, 19.127, 0.0943733603, 0.0130253835, 0.0008481523, 0.2394807190, 0.3477275968
97, 19.311, 0.0887867436, 0.0130761284, 0.0008915497, 0.2413408458, 0.3440952599
98, 19.493, 0.0981401727, 0.0131430151, 0.0009056077, 0.2358329296, 0.3480217457
99, 19.703, 0.0935758576, 0.0132356733, 0.0009172900, 0.2374656647, 0.3451944888
100, 19.937, 0.0962374583, 0.0133094676, 0.0009113673, 0.2342593372, 0.3447176218
101, 20.094, 0.0985347107, 0.0133684026, 0.0008766027, 0.2382225990, 0.3510023355
102, 20.282, 0.0965397134, 0.0134279616, 0.0008651259, 0.2316458672, 0.3424786627
103, 20.476, 0.0941216797, 0.0135042351, 0.0008448554, 0.2360924631, 0.3445632458
104, 20.619, 0.0913501456, 0.0135054234, 0.0007904624, 0.2313745171, 0.3370205462
105, 20.773, 0.0891890451, 0.0135185020, 0.0007277513, 0.2301816195, 0.3336169124
106, 20.925, 0.0887250677, 0.0135275703, 0.0006604479, 0.2288111001, 0.3317241967
107, 21.071, 0.0885783732, 0.0135296183, 0.0006553403, 0.2305592448, 0.3333225846
108, 21.279, 0.0916417837, 0.0134771466, 0.0005890613, 0.2298515588, 0.3355595469
109, 21.429, 0.0934137627, 0.0134254219, 0.0005688359, 0.2263110727, 0.3337191045
110, 21.610, 0.0929855779, 0.0133597441, 0.0005706343, 0.2275046557, 0.3344206214
111, 21.819, 0.0933474451, 0.0133806793, 0.0005717037, 0.2238972783, 0.3311971128
112, 22.031, 0.0937608182, 0.0133855427, 0.0005429499, 0.2217887640, 0.3294780850
113, 22.218, 0.0881473869, 0.0133787431, 0.0005058160, 0.2267124653, 0.3287444115
114, 22.427, 0.0879339054, 0.0134282000, 0.0005093369, 0.2243982702, 0.3262697160
115, 22.655, 0.0875273570, 0.0135564841, 0.0005267596, 0.2208273709, 0.3224379718
116, 22.878, 0.0888780579, 0.0136875929, 0.0005416565, 0.2203868479, 0.3234941661
117, 23.079, 0.0850105807, 0.0137331933, 0.0005209523, 0.2214781791, 0.3207429051
118, 23.271, 0.0932761058, 0.0138270771, 0.0005054315, 0.2190678865, 0.3266764879
119, 23.469, 0.0818321928, 0.0139753632, 0.0005260720, 0.2217522413, 0.3180858493
120, 23.654, 0.0838459060, 0.0140433311, 0.0004985384, 0.2192495316, 0.3176373243
121, 23.803, 0.0833833441, 0.0141314976, 0.0005409615, 0.2190964222, 0.3171522319
122, 23.986, 0.0858854577, 0.0141823776, 0.0005502299, 0.2136134505, 0.3142315149
123, 24.161, 0.0877499133, 0.0141900834, 0.0005004508, 0.2194457054, 0.3218861520
124, 24.309, 0.0820176080, 0.0142734451, 0.0006139667, 0.2156234384, 0.3125284612
125, 24.464, 0.0833947808, 0.0142780729, 0.0005871298, 0.2186623216, 0.3169223070
126, 24.639, 0.0759657100, 0.0142837996, 0.0005087106, 0.2202699035, 0.3110281229
127, 24.814, 0.0730787367, 0.0142041696, 0.0003736966, 0.2185567468, 0.3062133491
128, 24.956, 0.0738895535, 0.0141196195, 0.0003049524, 0.2129663676, 0.3012804985
129, 25.130, 0.0749543756, 0.0140500534, 0.0002791739, 0.2144888639, 0.3037724495
130, 25.308, 0.0782496482, 0.0139918709, 0.0002406785, 0.2099135071, 0.3023957014
131, 25.494, 0.0782264620, 0.0138844131, 0.0001798961, 0.2100465000, 0.3023372591
132, 25.647, 0.0808030963, 0.0136476681, 0.0001051844, 0.2078226954, 0.3023786545
133, 25.819, 0.0777278990, 0.0135050938, 0.0000987533, 0.2129598260, 0.3042915761
134, 25.970, 0.0784400478, 0.0137167480, 0.0001645059, 0.2058618069, 0.2981831133
135, 26.154, 0.0763969049, 0.0137118436, 0.0002243711, 0.2082918286, 0.2986249626
136, 26.299, 0.0734660327, 0.0137422774, 0.0002399722, 0.2071947902, 0.2946430743
137, 26.453, 0.0712990537, 0.0136868767, 0.0001817582, 0.2051476091, 0.2903153002
138, 26.640, 0.0750214383, 0.0135657517, 0.0001560050, 0.2030003667, 0.2917435765
139, 26.789, 0.0736837909, 0.0137766451, 0.0002064681, 0.2049469352, 0.2926138341
140, 27.085, 0.0725823715, 0.0139909741, 0.0002873821, 0.2022550702, 0.2891157866
141, 27.267, 0.0713221580, 0.0137439528, 0.0001405401, 0.2021739185, 0.2873805761
142, 27.422, 0.0782062635, 0.0137433233, 0.0001254703, 0.2018793821, 0.2939544320
143, 27.620, 0.0733608752, 0.0140220346, 0.0002073287, 0.1997088641, 0.2872990966
144, 27.835, 0.0718099400, 0.0141940499, 0.0002922011, 0.1999611109, 0.2862572968
145, 28.047, 0.0755289868, 0.0140067320, 0.0001396367, 0.1995495856, 0.2892249525
146, 28.238, 0.0727237612, 0.0140258325, 0.0001288887, 0.1939866990, 0.2808651924
147, 28.435, 0.0735651180, 0.0141153233, 0.0001339369, 0.1981065422, 0.2859209180
148, 28.616, 0.0708090439, 0.0142211132, 0.0001514231, 0.1937619895, 0.2789435685
149, 28.765, 0.0692528784, 0.0141961360, 0.0001223248, 0.1982380599, 0.2818093896
150, 28.949, 0.0712299421, 0.0139831258, 0.0000792626, 0.1961410046, 0.2814333439
151, 29.126, 0.0718685836, 0.0142653612, 0.0001240629, 0.1916673630, 0.2779253721
152, 29.269, 0.0668164268, 0.0144309625, 0.0001548409, 0.1939868927, 0.2753891349
153, 29.442, 0.0663411915, 0.0141775357, 0.0000748884, 0.1940255761, 0.2746191919
154, 29.591, 0.0668852404, 0.0140372124, 0.0000719966, 0.1911032349, 0.2720976770
155, 29.764, 0.0650142580, 0.0139763877, 0.0000854442, 0.1926596612, 0.2717357576
156, 29.938, 0.0636970103, 0.0141857136, 0.0000852510, 0.1938550025, 0.2718229890
157, 30.115, 0.0636779070, 0.0143567957, 0.0001141745, 0.1926793307, 0.2708281875
158, 30.326, 0.0635545626, 0.0141117861, 0.0000742128, 0.1887353510, 0.2664759159
